"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX1075529","GSM1726196: Metazome_Echinodermata_timecourse_sample_0161; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974514","","61.84","1","1492859","52250065","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075528","GSM1726195: Metazome_Echinodermata_timecourse_sample_0160; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974512","","42.09","1","1015107","35528745","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075527","GSM1726194: Metazome_Echinodermata_timecourse_sample_0159; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974517","","34.55","1","833411","29169385","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075526","GSM1726193: Metazome_Echinodermata_timecourse_sample_0158; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974516","","37.43","1","888389","31093615","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075525","GSM1726192: Metazome_Echinodermata_timecourse_sample_0157; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974515","","37.24","1","901101","31538535","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075524","GSM1726191: Metazome_Echinodermata_timecourse_sample_0156; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974524","","23.18","1","562226","19677910","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075523","GSM1726190: Metazome_Echinodermata_timecourse_sample_0155; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974518","","40.69","1","983667","34428345","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075522","GSM1726189: Metazome_Echinodermata_timecourse_sample_0154; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974519","","27.91","1","675781","23652335","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075521","GSM1726188: Metazome_Echinodermata_timecourse_sample_0153; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974523","","93.42","1","2259683","79088905","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075520","GSM1726187: Metazome_Echinodermata_timecourse_sample_0152; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974522","","34.3","1","821401","28749035","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075519","GSM1726186: Metazome_Echinodermata_timecourse_sample_0151; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974520","","43.76","1","1058282","37039870","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075518","GSM1726185: Metazome_Echinodermata_timecourse_sample_0150; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974526","","23.52","1","565154","19780390","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075517","GSM1726184: Metazome_Echinodermata_timecourse_sample_0149; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974525","","70.81","1","1695997","59359895","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075516","GSM1726183: Metazome_Echinodermata_timecourse_sample_0148; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974533","","4.51","1","107966","3778810","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075515","GSM1726182: Metazome_Echinodermata_timecourse_sample_0147; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974528","","51.46","1","1239452","43380820","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075514","GSM1726181: Metazome_Echinodermata_timecourse_sample_0146; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974529","","92.47","1","2236815","78288525","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075513","GSM1726180: Metazome_Echinodermata_timecourse_sample_0145; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974530","","109.12","1","2631987","92119545","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075512","GSM1726179: Metazome_Echinodermata_timecourse_sample_0144; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974532","","45.5","1","1094396","38303860","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075511","GSM1726178: Metazome_Echinodermata_timecourse_sample_0143; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974531","","41.99","1","1016836","35589260","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075510","GSM1726177: Metazome_Echinodermata_timecourse_sample_0142; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974539","","54.56","1","1320515","46218025","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075509","GSM1726176: Metazome_Echinodermata_timecourse_sample_0141; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974540","","70.38","1","1706600","59731000","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075508","GSM1726175: Metazome_Echinodermata_timecourse_sample_0140; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974534","","39.58","1","953540","33373900","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075507","GSM1726174: Metazome_Echinodermata_timecourse_sample_0139; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974535","","40.87","1","978475","34246625","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075506","GSM1726173: Metazome_Echinodermata_timecourse_sample_0138; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974536","","23.62","1","1265802","44303070","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075505","GSM1726172: Metazome_Echinodermata_timecourse_sample_0137; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974537","","17.53","1","950360","33262600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075504","GSM1726171: Metazome_Echinodermata_timecourse_sample_0136; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974542","","18.99","1","1029976","36049160","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075503","GSM1726170: Metazome_Echinodermata_timecourse_sample_0135; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974544","","17.18","1","925608","32396280","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075502","GSM1726169: Metazome_Echinodermata_timecourse_sample_0134; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974543","","29.78","1","1631438","57100330","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075501","GSM1726168: Metazome_Echinodermata_timecourse_sample_0133; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974545","","53.6","1","2935694","102749290","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075500","GSM1726167: Metazome_Echinodermata_timecourse_sample_0132; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974549","","38.61","1","2104922","73672270","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075499","GSM1726166: Metazome_Echinodermata_timecourse_sample_0131; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974548","","86.01","1","4741709","165959815","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075498","GSM1726165: Metazome_Echinodermata_timecourse_sample_0130; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974541","","96.41","1","5241448","183450680","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075497","GSM1726164: Metazome_Echinodermata_timecourse_sample_0129; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974547","","79.94","1","4389500","153632500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075496","GSM1726163: Metazome_Echinodermata_timecourse_sample_0128; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974546","","71.92","1","3914912","137021920","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075495","GSM1726162: Metazome_Echinodermata_timecourse_sample_0127; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974551","","12.6","1","667760","23371600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075494","GSM1726161: Metazome_Echinodermata_timecourse_sample_0126; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974550","","48.99","1","2646572","92630020","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075493","GSM1726160: Metazome_Echinodermata_timecourse_sample_0125; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974553","","38.67","1","2129318","74526130","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075492","GSM1726159: Metazome_Echinodermata_timecourse_sample_0124; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974559","","42.68","1","2327588","81465580","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075491","GSM1726158: Metazome_Echinodermata_timecourse_sample_0123; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974560","","17.52","1","937797","32822895","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075490","GSM1726157: Metazome_Echinodermata_timecourse_sample_0122; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974555","","43.57","1","2376146","83165110","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075489","GSM1726156: Metazome_Echinodermata_timecourse_sample_0121; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974558","","90.63","1","4972481","174036835","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075488","GSM1726155: Metazome_Echinodermata_timecourse_sample_0120; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974556","","187.07","1","9805577","343195195","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075487","GSM1726154: Metazome_Echinodermata_timecourse_sample_0119; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974557","","30.55","1","1627562","56964670","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075486","GSM1726153: Metazome_Echinodermata_timecourse_sample_0118; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974565","","123.58","1","6707857","234774995","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075485","GSM1726152: Metazome_Echinodermata_timecourse_sample_0117; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974564","","19.66","1","1060134","37104690","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075484","GSM1726151: Metazome_Echinodermata_timecourse_sample_0116; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974567","","74.6","1","4105603","143696105","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075483","GSM1726150: Metazome_Echinodermata_timecourse_sample_0115; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974566","","6.9","1","374669","13113415","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075482","GSM1726149: Metazome_Echinodermata_timecourse_sample_0114; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974568","","58.59","1","3220648","112722680","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075481","GSM1726148: Metazome_Echinodermata_timecourse_sample_0113; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974561","","11.82","1","633722","22180270","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075480","GSM1726147: Metazome_Echinodermata_timecourse_sample_0112; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974562","","24.23","1","1319101","46168535","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075479","GSM1726146: Metazome_Echinodermata_timecourse_sample_0111; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974563","","38.44","1","2099712","73489920","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075478","GSM1726145: Metazome_Echinodermata_timecourse_sample_0110; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974571","","36.28","1","1992131","69724585","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075477","GSM1726144: Metazome_Echinodermata_timecourse_sample_0109; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974570","","28.18","1","1528003","53480105","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075476","GSM1726143: Metazome_Echinodermata_timecourse_sample_0108; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974569","","45.38","1","2500393","87513755","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075475","GSM1726142: Metazome_Echinodermata_timecourse_sample_0107; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974576","","17.9","1","975194","34131790","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075474","GSM1726141: Metazome_Echinodermata_timecourse_sample_0106; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974573","","20.84","1","1144109","40043815","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075473","GSM1726140: Metazome_Echinodermata_timecourse_sample_0105; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974574","","52.6","1","2836378","99273230","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075472","GSM1726139: Metazome_Echinodermata_timecourse_sample_0104; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974579","","14.56","1","783148","27410180","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075471","GSM1726138: Metazome_Echinodermata_timecourse_sample_0103; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974580","","29.5","1","1606512","56227920","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075470","GSM1726137: Metazome_Echinodermata_timecourse_sample_0102; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974575","","10.7","1","575141","20129935","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075469","GSM1726136: Metazome_Echinodermata_timecourse_sample_0101; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974578","","28.88","1","1584835","55469225","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075468","GSM1726135: Metazome_Echinodermata_timecourse_sample_0100; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974577","","41.81","1","2344003","82040105","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075467","GSM1726134: Metazome_Echinodermata_timecourse_sample_0099; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974582","","38.25","1","2134366","74702810","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075466","GSM1726133: Metazome_Echinodermata_timecourse_sample_0098; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974585","","41.01","1","2269353","79427355","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075465","GSM1726132: Metazome_Echinodermata_timecourse_sample_0097; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974583","","29.24","1","1594987","55824545","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075464","GSM1726131: Metazome_Echinodermata_timecourse_sample_0096; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974584","","45.2","1","2524790","88367650","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075463","GSM1726130: Metazome_Echinodermata_timecourse_sample_0095; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974590","","27.76","1","1502546","52589110","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075462","GSM1726129: Metazome_Echinodermata_timecourse_sample_0094; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974587","","66.14","1","3696703","129384605","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075461","GSM1726128: Metazome_Echinodermata_timecourse_sample_0093; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974589","","36.48","1","2002354","70082390","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075460","GSM1726127: Metazome_Echinodermata_timecourse_sample_0092; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974588","","59.6","1","3326527","116428445","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075459","GSM1726126: Metazome_Echinodermata_timecourse_sample_0091; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974591","","17.94","1","990787","34677545","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075458","GSM1726125: Metazome_Echinodermata_timecourse_sample_0090; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974594","","25.11","1","1391885","48715975","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075457","GSM1726124: Metazome_Echinodermata_timecourse_sample_0089; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974592","","27.28","1","1511113","52888955","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075456","GSM1726123: Metazome_Echinodermata_timecourse_sample_0088; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974593","","49.39","1","2770763","96976705","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075455","GSM1726122: Metazome_Echinodermata_timecourse_sample_0087; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974586","","15.3","1","843836","29534260","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075454","GSM1726121: Metazome_Echinodermata_timecourse_sample_0086; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974595","","26.25","1","1462192","51176720","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX1075453","GSM1726120: Metazome_Echinodermata_timecourse_sample_0085; Strongylocentrotus purpuratus; RNA-Seq","Strongylocentrotus purpuratus","Illumina HiSeq 2000","GEO","SRP059945","Strongylocentrotus purpuratus high resolution developmental transcriptomic time-course","SRS974596","","28.96","1","1604691","56164185","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
